"Name","PackageFullName"
"Microsoft.Windows.PrintQueueActionCenter","Microsoft.Windows.PrintQueueActionCenter_1.0.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.PeopleExperienceHost","Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ParentalControls","Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.PinningConfirmationDialog","Microsoft.Windows.PinningConfirmationDialog_1000.22621.1.0_neutral__cw5n1h2txyewy"
"Microsoft.Windows.NarratorQuickStart","Microsoft.Windows.NarratorQuickStart_10.0.22621.1_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.Windows.CapturePicker","Microsoft.Windows.CapturePicker_10.0.19580.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.CallingShellApp","Microsoft.Windows.CallingShellApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.AssignedAccessLockApp","Microsoft.Windows.AssignedAccessLockApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Apprep.ChxApp","Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.AsyncTextService","Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe"
"1527c705-839a-4832-9118-54d4Bd6a0c89","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.22621.1_neutral_neutral_cw5n1h2txyewy"
"E2A4F912-2574-4A75-9BB0-0D023378592B","E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.22621.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.AccountsControl","Microsoft.AccountsControl_10.0.22621.1_neutral__cw5n1h2txyewy"
"Microsoft.CredDialogHost","Microsoft.CredDialogHost_10.0.19595.1001_neutral__cw5n1h2txyewy"
"Microsoft.ECApp","Microsoft.ECApp_10.0.22621.1_neutral__8wekyb3d8bbwe"
"Microsoft.MicrosoftEdgeDevToolsClient","Microsoft.MicrosoftEdgeDevToolsClient_1000.22621.1.0_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.Win32WebViewHost","Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.PPIProjection","Microsoft.PPIProjection_10.0.22621.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.D3DMappingLayers","Microsoft.D3DMappingLayers_1.2302.1.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.2","Microsoft.WindowsAppRuntime.1.2_2000.802.31.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.2","Microsoft.WindowsAppRuntime.1.2_2000.802.31.0_x64__8wekyb3d8bbwe"
"ReaderNotificationClient","ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2305.5001.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.32530.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.32530.0_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.32530.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.32530.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2306.22001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2306.22001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.CBS","Microsoft.UI.Xaml.CBS_8.2303.31001.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS","Microsoft.WindowsAppRuntime.CBS_4000.864.1406.0_x64__8wekyb3d8bbwe"
"MicrosoftWindows.Client.FileExp","MicrosoftWindows.Client.FileExp_1000.22651.1000.0_x64__cw5n1h2txyewy"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.23012.0_x64__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.23012.0_x86__8wekyb3d8bbwe"
"DolbyLaboratories.DolbyVisionAccess","DolbyLaboratories.DolbyVisionAccess_2.2.337.0_x64__rz1tebttyb220"
"Microsoft.MPEG2VideoExtension","Microsoft.MPEG2VideoExtension_1.0.61931.0_x64__8wekyb3d8bbwe"
"Microsoft.WebMediaExtensions","Microsoft.WebMediaExtensions_1.0.61591.0_x64__8wekyb3d8bbwe"
"Microsoft.VP9VideoExtensions","Microsoft.VP9VideoExtensions_1.0.61591.0_x64__8wekyb3d8bbwe"
"Microsoft.HEVCVideoExtension","Microsoft.HEVCVideoExtension_2.0.61931.0_x64__8wekyb3d8bbwe"
"MicrosoftWindows.Client.WebExperience","MicrosoftWindows.Client.WebExperience_423.23500.0.0_x64__cw5n1h2txyewy"
"Microsoft.SecHealthUI","Microsoft.SecHealthUI_1000.25873.9001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxIdentityProvider","Microsoft.XboxIdentityProvider_12.95.3001.0_x64__8wekyb3d8bbwe"
"Microsoft.SurfaceAppProxy","Microsoft.SurfaceAppProxy_5.98.139.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCamera","Microsoft.WindowsCamera_2023.2305.4.0_x64__8wekyb3d8bbwe"
"Microsoft.MicrosoftStickyNotes","Microsoft.MicrosoftStickyNotes_4.6.2.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_11.2307.4.0_x64__8wekyb3d8bbwe"
"Microsoft.BingWeather","Microsoft.BingWeather_4.53.52331.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsSoundRecorder","Microsoft.WindowsSoundRecorder_1.0.65.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.3","Microsoft.WindowsAppRuntime.1.3_3000.934.1904.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.3","Microsoft.WindowsAppRuntime.1.3_3000.934.1904.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.CBS","Microsoft.UI.Xaml.CBS_8.2305.16002.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS","Microsoft.WindowsAppRuntime.CBS_4000.887.425.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.StartMenuExperienceHost","Microsoft.Windows.StartMenuExperienceHost_10.0.22621.2215_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ShellExperienceHost","Microsoft.Windows.ShellExperienceHost_10.0.22621.2215_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Photos","Microsoft.Windows.Photos_2023.11090.12017.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAlarms","Microsoft.WindowsAlarms_11.2306.23.0_x64__8wekyb3d8bbwe"
"Microsoft.Whiteboard","Microsoft.Whiteboard_53.10829.535.0_x64__8wekyb3d8bbwe"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_22307.1401.9.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsNotepad","Microsoft.WindowsNotepad_11.2307.27.0_x64__8wekyb3d8bbwe"
"Microsoft.MicrosoftJournal","Microsoft.MicrosoftJournal_1.23075.1229.0_x64__8wekyb3d8bbwe"
"Microsoft.SurfaceHub","Microsoft.SurfaceHub_61.23090.124.0_x64__8wekyb3d8bbwe"
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.21.2771.0_x64__8wekyb3d8bbwe"
"Microsoft.RawImageExtension","Microsoft.RawImageExtension_2.1.62561.0_x64__8wekyb3d8bbwe"
"Microsoft.HEIFImageExtension","Microsoft.HEIFImageExtension_1.0.62561.0_x64__8wekyb3d8bbwe"
"Microsoft.Todos","Microsoft.Todos_2.106.62642.0_x64__8wekyb3d8bbwe"
"Microsoft.WebpImageExtension","Microsoft.WebpImageExtension_1.0.62681.0_x64__8wekyb3d8bbwe"
"Microsoft.LanguageExperiencePacken-GB","Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe"
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_11.2309.16.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsTerminal","Microsoft.WindowsTerminal_1.18.2822.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsStore","Microsoft.WindowsStore_22309.1401.2.0_x64__8wekyb3d8bbwe"
"AdobeAcrobatReaderCoreApp","AdobeAcrobatReaderCoreApp_23.0.0.0_x64__pc75e8sa7ep4e"
"Microsoft.WindowsAppRuntime.CBS","Microsoft.WindowsAppRuntime.CBS_4000.1000.1727.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.CloudExperienceHost","Microsoft.Windows.CloudExperienceHost_10.0.22621.2361_neutral_neutral_cw5n1h2txyewy"
"MicrosoftWindows.Client.CBS","MicrosoftWindows.Client.CBS_1000.22674.1000.0_x64__cw5n1h2txyewy"
"Microsoft.Windows.ContentDeliveryManager","Microsoft.Windows.ContentDeliveryManager_10.0.22621.2361_neutral_neutral_cw5n1h2txyewy"
"NotepadPlusPlus","NotepadPlusPlus_1.0.0.0_neutral__7njy0v32s6xk6"
"Microsoft.Paint","Microsoft.Paint_11.2308.30.0_x64__8wekyb3d8bbwe"
"Microsoft.OneDriveSync","Microsoft.OneDriveSync_23204.1001.3.0_neutral__8wekyb3d8bbwe"
"DolbyLaboratories.DolbyAccessOEM","DolbyLaboratories.DolbyAccessOEM_3.19.8.0_x64__rz1tebttyb220"
"Microsoft.MicrosoftEdge.Stable","Microsoft.MicrosoftEdge.Stable_118.0.2088.61_neutral__8wekyb3d8bbwe"
"open.spotify.com-FEA8D09B","open.spotify.com-FEA8D09B_1.0.0.0_neutral__nwqr74yvdh6rj"
"Microsoft.CompanyPortal","Microsoft.CompanyPortal_11.2.269.0_x64__8wekyb3d8bbwe"
"Microsoft.PowerAutomateDesktop","Microsoft.PowerAutomateDesktop_10.0.7829.0_x64__8wekyb3d8bbwe"
"MicrosoftCorporationII.QuickAssist","MicrosoftCorporationII.QuickAssist_2.0.22.0_x64__8wekyb3d8bbwe"
"open.spotify.com-D55111A4","open.spotify.com-D55111A4_1.0.0.1_neutral__nwqr74yvdh6rj"
"www.disneyplus.com-29AE268E","www.disneyplus.com-29AE268E_1.0.0.1_neutral__gcze62ayd7e3t"
"Microsoft.Winget.Source","Microsoft.Winget.Source_2023.1026.709.433_neutral__8wekyb3d8bbwe"
